河北联通,#genre#
CCTV-1,rtp://239.253.92.83:8012
CCTV-2,rtp://239.253.92.190:6065
CCTV-3,rtp://239.253.92.191:6057
CCTV-4,rtp://239.253.92.251:6141
CCTV-5,rtp://239.253.92.181:6046
CCTV-5+,rtp://239.253.92.82:8013
CCTV-6,rtp://239.253.92.193:6058
CCTV-7,rtp://239.253.92.194:6059
CCTV-8,rtp://239.253.92.195:6060
CCTV-9,rtp://239.253.92.107:6020
CCTV-10,rtp://239.253.92.196:6061
CCTV-11,rtp://239.253.93.153:6321
CCTV-12,rtp://239.253.92.197:6062
CCTV-13,rtp://239.253.92.13:8008
CCTV-14,rtp://239.253.92.198:6063
CCTV-15,rtp://239.253.93.154:6322
CCTV-17,rtp://239.253.93.150:6318
湖南卫视,rtp://239.253.92.84:8015
浙江卫视,rtp://239.253.92.90:8020
江苏卫视,rtp://239.253.92.88:8018
北京卫视,rtp://239.253.92.87:8014
东南卫视,rtp://239.253.92.201:6146
东方卫视,rtp://239.253.92.89:8019
天津卫视,rtp://239.253.92.91:8021
深圳卫视,rtp://239.253.92.86:8017
山东卫视,rtp://239.253.92.207:8109
广东卫视,rtp://239.253.92.206:8108
黑龙江卫视,rtp://239.253.92.85:8016
辽宁卫视,rtp://239.253.92.115:6056
安徽卫视,rtp://239.253.92.209:6566
湖北卫视,rtp://239.253.92.210:6567
四川卫视,rtp://239.253.92.16:6043
重庆卫视,rtp://239.253.92.10:6053
河南卫视,rtp://239.253.92.137:6144
金鹰纪实,rtp://239.253.92.103:6054
广西卫视,rtp://239.253.92.76:8043
纪实人文,rtp://239.253.92.99:6013
贵州卫视,rtp://239.253.92.105:6055
江西卫视,rtp://239.253.92.19:6145
吉林卫视,rtp://239.253.92.202:6147
海南卫视,rtp://239.253.93.155:6323
兵团卫视,rtp://239.253.93.176:6344
河北卫视,rtp://239.253.92.154:6011
河北经济生活,rtp://239.253.92.171:6001
河北都市,rtp://239.253.92.172:6002
河北影视剧,rtp://239.253.92.173:6003
河北少儿科教,rtp://239.253.92.174:6004
河北公共,rtp://239.253.92.175:6005
河北农民,rtp://239.253.92.176:6006
kaku 少儿,rtp://239.253.92.162:8054
金鹰卡通,rtp://239.253.92.163:8055
嘉佳卡通,rtp://239.253.93.203:6381
优漫卡通,rtp://239.253.93.204:6382
中国教育-1,rtp://239.253.92.211:6069
山东教育,rtp://239.253.92.106:6135
河北杂技频道,rtp://239.253.93.170:6338
