河北移动（专用）,#genre#
CCTV1,http://111.63.117.13:6060/030000001000/CCTV1-HD/CCTV1-HD.m3u8
CCTV2,http://111.63.117.13:6060/030000001000/G_CCTV2/G_CCTV2.m3u8
CCTV3,http://111.63.117.13:6060/030000001000/CCTV3/CCTV3.m3u8
CCTV4,http://111.63.117.13:6060/030000001000/CCTV4/CCTV4.m3u8
CCTV5,http://111.63.117.13:6060/030000001000/CCTV5/CCTV5.m3u8
CCTV5+,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV6,http://111.63.117.13:6060/030000001000/CCTV6/CCTV6.m3u8
CCTV7,http://111.63.117.13:6060/030000001000/CCTV7/CCTV7.m3u8
CCTV8,http://111.63.117.13:6060/030000001000/G_CCTV8/G_CCTV8.m3u8
CCTV9,http://111.63.117.13:6060/030000001000/G_CCTV9/G_CCTV9.m3u8
CCTV10,http://111.63.117.13:6060/030000001000/CCTV10/CCTV10.m3u8
CCTV11,http://111.63.117.13:6060/030000001000/CCTV11/CCTV11.m3u8
CCTV12,http://111.63.117.13:6060/030000001000/CCTV12/CCTV12.m3u8
CCTV13,http://111.63.117.13:6060/030000001000/CCTV13/CCTV_13.m3u8
CCTV14,http://111.63.117.13:6060/030000001000/G_CCTV14/G_CCTV_14.m3u8
CCTV15,http://111.63.117.13:6060/030000001000/G_CCTV15/G_CCTV15.m3u8
CCTV17,http://111.63.117.13:6060/030000001000/G_CCTV17/G_CCTV17.m3u8
黑龙江卫视,http://111.63.117.13:6060/030000001000/HEILONGJIANG-CQ/HEILONGJIANG-CQ.m3u8
吉林卫视,http://111.63.117.13:6060/030000001000/G_JILIN/G_JILIN.m3u8
辽宁卫视,http://111.63.117.13:6060/030000001000/LNWS/LNWS.m3u8
北京卫视,http://111.63.117.13:6060/030000001000/G_BEIJING/G_BEIJING.m3u8
天津卫视,http://111.63.117.13:6060/030000001000/TJWS/TJWS.m3u8
河北卫视,http://111.63.117.13:6060/030000001000/G_HEBEI/G_HEBEI.m3u8
山东卫视,http://111.63.117.13:6060/030000001000/SDWS/SDWS.m3u8
山西卫视,http://111.63.117.13:6060/030000001000/SXWS/SXWS.m3u8
河南卫视,http://111.63.117.13:6060/030000001000/HENAN/HENAN.m3u8
江苏卫视,http://111.63.117.13:6060/030000001000/G_JIANGSU-HQ/G_JIANGSU-HQ.m3u8
浙江卫视,http://111.63.117.13:6060/030000001000/G_ZHEJIANG/G_ZHEJIANG.m3u8
安徽卫视,http://111.63.117.13:6060/030000001000/AHWS/AHWS.m3u8
东方卫视,http://111.63.117.13:6060/030000001000/G_DONGFANG/G_DONGFANG.m3u8
东南卫视,http://111.63.117.13:6060/030000001000/DNWS/DNWS.m3u8
江西卫视,http://111.63.117.13:6060/030000001000/JXWS/JXWS.m3u8
湖北卫视,http://111.63.117.13:6060/030000001000/G_HUBEI/G_HUBEI.m3u8
湖南卫视,http://111.63.117.13:6060/030000001000/G_HUNAN/G_HUNAN.m3u8
广东卫视,http://111.63.117.13:6060/030000001000/G_GUANGDONG/G_GUANGDONG.m3u8
广西卫视,http://111.63.117.13:6060/030000001000/GXWS/GXWS.m3u8
旅游卫视,http://111.63.117.13:6060/030000001000/LYWS/LYWS.m3u8
深圳卫视,http://111.63.117.13:6060/030000001000/G_SHENZHEN/G_SHENZHEN.m3u8
四川卫视,http://111.63.117.13:6060/030000001000/SCWS/SCWS.m3u8
重庆卫视,http://111.63.117.13:6060/030000001000/G_CHONGQING/G_CHONGQING.m3u8
云南卫视,http://111.63.117.13:6060/030000001000/G_YUNNAN/G_YUNNAN.m3u8
贵州卫视,http://111.63.117.13:6060/030000001000/G_GUIZHOU/G_GUIZHOU.m3u8
青海卫视,http://111.63.117.13:6060/030000001000/G_QINGHAI/G_QINGHAI.m3u8
内蒙古卫视,http://111.63.117.13:6060/030000001000/G_NEIMENGGU/G_NEIMENGGU.m3u8
甘肃卫视,http://111.63.117.13:6060/030000001000/G_GANSU/G_GANSU.m3u8
宁夏卫视,http://111.63.117.13:6060/030000001000/G_NINGXIA/G_NINGXIA.m3u8
新疆卫视,http://111.63.117.13:6060/030000001000/G_XINJIANG/G_XINJIANG.m3u8
