电信,#genre#
CCTV1,rtp://226.0.1.157:3086
CCTV2,rtp://226.0.1.158:3087
CCTV3,rtp://226.0.1.141:2018
CCTV4,rtp://226.0.1.160:2019
CCTV5,rtp://226.0.1.135:2020
CCTV5+,rtp://226.0.1.172:3096
CCTV6,rtp://226.0.1.137:2021
CCTV7,rtp://226.0.1.163:3097
CCTV8,rtp://226.0.1.140:2023
CCTV9,rtp://226.0.1.165:3093
CCTV10,rtp://226.0.1.166:3099
CCTV11,rtp://226.0.1.28:3021
CCTV12,rtp://226.0.1.168:3100
CCTV13,rtp://226.0.1.98:2028
CCTV14,rtp://226.0.1.170:3094
CCTV15,rtp://226.0.1.32:3028
CCTV16,rtp://226.0.1.118:2032
CCTV17,rtp://226.0.1.117:2033
CHC家庭影院,rtp://226.0.1.108:2096
CHC高清电影,rtp://226.0.1.109:2097
文物宝库,rtp://226.0.1.110:3190
CHC动作电影,rtp://226.0.1.113:2098
海南卫视,rtp://226.0.1.143:2071
湖南卫视,rtp://226.0.1.146:3075
浙江卫视,rtp://226.0.1.147:3076
安徽卫视,rtp://226.0.1.148:3077
广东卫视,rtp://226.0.1.149:3078
深圳卫视,rtp://226.0.1.150:3079
黑龙江卫视,rtp://226.0.1.151:3080
湖北卫视,rtp://226.0.1.152:3082
天津卫视,rtp://226.0.1.153:3083
山东卫视,rtp://226.0.1.154:3084
云南卫视,rtp://226.0.1.156:2070
CCTV央视文化精品,rtp://226.0.1.162:2108
CCTV风云音乐,rtp://226.0.1.164:2109
CCTV第一剧场,rtp://226.0.1.167:2110
CCTV世界地理,rtp://226.0.1.169:2111
CCTV兵器科技,rtp://226.0.1.171:2115
游戏风云,rtp://226.0.1.173:2096
都市剧场,rtp://226.0.1.174:2098
法治天地,rtp://226.0.1.176:2100
辽宁卫视,rtp://226.0.1.177:3101
重庆卫视,rtp://226.0.1.178:3102
CCTV央视台球,rtp://226.0.1.181:2118
CCTV怀旧剧场,rtp://226.0.1.182:2121
东方卫视,rtp://226.0.1.183:3106
江苏卫视,rtp://226.0.1.184:3107
北京卫视,rtp://226.0.1.185:3108
河北卫视,rtp://226.0.1.186:3109
四川卫视,rtp://226.0.1.187:3110
贵州卫视,rtp://226.0.1.188:3116
动漫秀场,rtp://226.0.1.190:3113
东南卫视,rtp://226.0.1.194:3119
生活时尚,rtp://226.0.1.196:2101
乐游,rtp://226.0.1.198:2103
文体生活,rtp://226.0.1.200:2006
河南卫视,rtp://226.0.1.201:2064
纪实人文,rtp://226.0.1.202:2085
金鹰纪实,rtp://226.0.1.203:2086
CCTV风云足球,rtp://226.0.1.209:2122
CCTV女性时尚,rtp://226.0.1.210:2128
CCTV高尔夫网球,rtp://226.0.1.211:2132
CCTV风云剧场,rtp://226.0.1.212:2133
江西卫视,rtp://226.0.1.219:2067
吉林卫视,rtp://226.0.1.220:2068
太原新闻,rtp://226.0.1.225:2001
太原百姓,rtp://226.0.1.226:2002
太原社教,rtp://226.0.1.227:2003
太原影视,rtp://226.0.1.228:2004
太原文体,rtp://226.0.1.229:2005
太原教育,rtp://226.0.1.230:2006
广西卫视,rtp://226.0.1.75:2066
东方财经,rtp://226.0.1.76:3118
山西经济与科技,rtp://226.0.1.81:2003
山西影视,rtp://226.0.1.82:2004
山西社会与法治,rtp://226.0.1.83:2005
山西黄河,rtp://226.0.1.84:2002
山西卫视,rtp://226.0.1.85:2001
金鹰卡通,rtp://226.0.1.90:2078
武术世界,rtp://226.0.1.97:3197
